"","date","AT","BE","BG","CH","CZ","DE","DK","EE","ES","FI","FR","GR","HR","HU","IE","IT","LV","NL","NO","PL","PT","RO","SE","SI","SK"
"1",2015-01-01,6292.91666666667,9085.91666666667,4983.08695652174,7172.81,6396.3,45346.5416666667,3622.5052173913,859.278260869565,23828.3913043478,9420.08260869565,66172,6139.36173913044,2022.5652173913,4058.95833333333,2801.33333333333,24455.3913043478,728.217391304348,10283.8333333333,16020.4347826087,15034.6856521739,4961.49130434783,7408.45476851852,15703.652173913,1178.53913043478,2877.26086956522
"2",2015-01-02,5788.45833333333,9977.79166666667,5250.625,7268.54416666667,7145.38666666667,51941.1666666667,4027.07875,840.761538461539,26604,10068.85,68225.9166666667,6454.17208333333,2132.25,4390,3029.375,28533.3333333333,800.208333333333,11931.25,16702.6625,17942.9725,5725.3625,7408.45476851852,16689.2083333333,1298.3575,3129.95833333333
"3",2015-01-03,5445.45833333333,10167.0416666667,5052.875,7321.81416666667,6915.79291666667,46564.75,3793.575,936.4125,27591.25,9920.28333333333,62944.1666666667,6577.3875,2007.75,4381.125,2980.33333333333,27062.7083333333,785.875,12920.25,17031.9666666667,17667.4558333333,5547.40416666667,7408.45476851852,17105,1314.73291666667,3065.625
"4",2015-01-04,5213.45833333333,9925.16666666667,5231.83333333333,7106.34041666667,7073.55166666667,45082.5,3738.58583333333,962.929166666667,26213.8333333333,10202.1541666667,58506.875,6178.94833333333,1859.20833333333,4396.95833333333,2917.29166666667,24937.9166666667,812.416666666667,12529.25,17505.8129166667,16442.2633333333,5419.75416666667,7408.45476851852,17661.7916666667,1269.355,3012.04166666667
"5",2015-01-05,6765.875,11618.875,5605.66666666667,8370.435,8463.75875,55246.6666666667,4362.95916666667,1127.875,28256.375,11937.5666666667,71173,6912.83958333333,2017.33333333333,5045.375,3327.375,28846.8333333333,960.083333333333,15715.7083333333,18990.2191666667,18913.6766666667,6506.42916666667,6510.98,19419.125,1517.12958333333,3276.25
"6",2015-01-06,5949.25,12100,5770.875,8466.07333333333,8582.4525,55496.5,4451.48,1178.52916666667,25204.7083333333,12023.6041666667,74951.4166666667,6556.82666666667,1873.70833333333,5169.54166666667,3356.75,26239.9583333333,1012.41666666667,15746.4166666667,18319.33375,17049.5333333333,6660.7375,7671.17666666667,18553.6666666667,1565.07291666667,3174.54166666667
"7",2015-01-07,7276.41666666667,11939.9583333333,5980,8553.315,8892.1125,60113,4429.6575,1208.06666666667,31718.5833333333,11709.6666666667,73652.9583333333,7415.91,2175.66666666667,5339.625,3461.16666666667,34649.625,1015.58333333333,12741.7083333333,18024.0133333333,21077.6316666667,6870.75416666667,7871.15291666667,19607.625,1638.4225,3640.75
"8",2015-01-08,7488.58333333333,11961.0416666667,6129.20833333333,8395.72375,8860.10875,61432.2916666667,4544.5375,1180.84166666667,32713.3333333333,11056.8541666667,70523.9166666667,7626.84541666667,2215.33333333333,5396.08333333333,3422.625,35979.875,1009.70833333333,13347.7083333333,17706.58,21300.2591666667,6959.11666666667,8146.77875,18737.1666666667,1689.16416666667,3734.375
"9",2015-01-09,6363.58333333333,11634.7083333333,6030.625,8205.41875,8536.4625,60808.7083333333,4446.19333333333,1104.95833333333,32327.0416666667,11084.2583333333,66495.75,7316.54125,2191.25,5252.66666666667,3395.66666666667,36044.0833333333,981.458333333333,12912,18566.1825,21062.16375,6835.14166666667,8084.05791666667,19119.2916666667,1642.40875,3627.16666666667
"10",2015-01-10,5747.125,10390.9166666667,5371.95833333333,6949.49,7195.01458333333,51784.0416666667,4018.745,995.45,28654.9583333333,10721.9458333333,56550.625,6591.99291666667,1991.375,4937.75,3088.625,29742.875,895.5,11191.125,17897.3370833333,18813.9516666667,5978.35833333333,7252.13791666667,18030.0416666667,1437.03791666667,3266.70833333333
"11",2015-01-11,5678.75,10116.0416666667,4933.66666666667,7025.35833333333,7269.31666666667,48456.5,3944.03125,988.395833333333,26595.375,11154.0125,56759.375,5824.48958333333,1910.91666666667,4582.875,3024.625,26263.375,841.833333333333,10478.4166666667,17723.7625,16935.0879166667,5595.49166666667,6531.95791666667,18787.375,1422.40083333333,3161
"12",2015-01-12,7167.375,11499.25,5458.45833333333,8407.95375,8554.30625,61913.625,4553.6175,1143.96666666667,31743.5416666667,12274.75,67526.4166666667,6582.6425,2133.70833333333,5108.08333333333,3364.79166666667,35001.6666666667,952.833333333333,12809.6666666667,19063.5758333333,20641.0141666667,6541.88333333333,7547.74416666667,20527.9166666667,1578.235,3564.95833333333
"13",2015-01-13,7607.91666666667,11566.8333333333,5443.83333333333,8292.37,8385.91791666667,60950.1666666667,4326.75375,1112.73333333333,32135.75,11804.2916666667,67280.4583333333,6871.64833333333,2116.45833333333,5174.70833333333,3469.125,36596.2916666667,924.041666666667,13030.9166666667,18472.7770833333,20726.26125,6780.9875,7564.04333333333,19260.5833333333,1566.54125,3594.83333333333
"14",2015-01-14,7761.375,11755.25,5426.66666666667,8335.96083333333,8481.37083333333,60946.4583333333,4604.03416666667,1094.90416666667,32106.1666666667,11208.125,67371.9583333333,6708.84,2120.125,5208.70833333333,3611.25,37034.9166666667,928.333333333333,13178.75,18571.0666666667,20743.9375,6650.87916666667,7631.70166666667,19568.3333333333,1610.56208333333,3623.70833333333
"15",2015-01-15,8262.66666666667,11724.8333333333,5400.125,8346.68666666667,8535.44291666667,61635.2083333333,4615.52625,1089.0125,32077.7083333333,10978.59375,67392.375,6655.81708333333,2101.29166666667,5163.04166666667,3554.875,37030.125,930.416666666667,13111.1666666667,18459.2729166667,20759.7654166667,6758.16666666667,7703.73875,19522.5416666667,1603.17375,3619.41666666667
"16",2015-01-16,7976.83333333333,11589.5,5328.625,8288.53958333333,8340.28666666667,59642.25,4395.80916666667,1099.4875,32127.625,11080.9333333333,67681.9583333333,6621.49583333333,2051.08333333333,5148.33333333333,3467.375,37594.4583333333,927,12752.3333333333,17928.8766666667,20498.09,6714.60416666667,7667.6675,18477.2916666667,1579.30125,3608.66666666667
